English,Greek,,
Access Number,Αριθμός πρόσβασης,,
Access Numbers,Πρόσβαση αριθμών,,
Account,λογαριασμός,,
Account Type,Τύπος Λογαριασμού,,
Account Valid Days,Έγκυρες ημέρες λογαριασμού,,
Account Verification By,Επαλήθευση λογαριασμού από,,
Accounts,Λογαριασμοί,,
Accounts Report,Αναφορά λογαριασμών,,
ACD,ACD,,
Action,Δράση,,
Action Type,Τύπος δράσης,,
Add,Προσθήκη,,
Add Country,Προσθήκη χώρας,,
Add Currency,Προσθήκη νομίσματος,,
Add Destination,Προσθήκη προορισμού,,
Add Ratedeck,Προσθήκη Ratedeck,,
Address1,Διεύθυνση 1,,
Administrator,Διαχειριστής,,
Administrator Admin,Διαχειριστής διαχειριστή,,
Admins,Διαχειριστές,,
After Balance,Μετά το υπόλοιπο,,
Alarm,Τρομάζω,,
Alert Status,Κατάσταση ειδοποίησης,,
Allow integration with Fraud detection,Επιτρέψτε την ενοποίηση με τον εντοπισμό απάτης,,
Allow IP Management,Να επιτρέπεται η διαχείριση IP,,
Allow Local Call,Να επιτρέπεται η τοπική κλήση,,
Allow Local Calls,Να επιτρέπονται τοπικές κλήσεις,,
Allow Loss Less Routing,Να επιτρέπεται η απώλεια λιγότερης δρομολόγησης,,
Allow Max Retries,Να επιτρέπεται η μέγιστη επανάληψη,,
Allow Recording,Να επιτρέπεται η εγγραφή,,
Amount,Ποσό,,
Amount INR,Ποσό INR,,
Answered Calls,Απαντημένες κλήσεις,,
Applicable For,Ισχύει για,,
Apply on existing accounts,Εφαρμογή σε υπάρχοντες λογαριασμούς,,
Archive,Αρχείο,,
ASR,ASR,,
Attachement,Συνημμένο,,
Attempted Calls,Προσπάθησαν κλήσεις,,
Audit,Ελεγχος,,
Audit Log,Αρχείο καταγραφής ελέγχου,,
Audit Logs Older Than Days,Αρχεία ελέγχου παλαιότερα από ημέρες,,
Authorize.net,Authorize.net,,
Automatically,Αυτομάτως,,
Balance,Ισορροπία,,
Balance Announcement,Ανακοίνωση υπολοίπου,,
Balance Below,Υπόλοιπο παρακάτω,,
Base Currency,Βασικό νόμισμα,,
Basic,Βασικός,,
Basic Information,Βασικές πληροφορίες,,
Batch Update,Μαζική ενημέρωση,,
Before Balance INR,Πριν το υπόλοιπο INR,,
Begins With,Ξεκινάει με,,
Beta,Βήτα,,
Billable,Χρεώσιμος,,
Billing,Χρέωση,,
Billing Cycle,Κύκλος χρέωσης,,
Billing Days,Ημέρες χρέωσης,,
Billing Information,Πληροφορίες χρέωσης,,
Billing Type,Τύπος χρέωσης,,
Body,Σώμα,,
Buy Cost,Αγορά κόστους,,
Call Barring,Φραγή κλήσεων,,
Call Date,Ημερομηνία κλήσης,,
Call Detail Reports,Αναφορές λεπτομερειών κλήσης,,
Call Max Length,Μέγιστο μήκος κλήσης,,
Call State,Κατάσταση κλήσης,,
Call Summary Reports,Αναφορές περίληψης κλήσεων,,
Call Timeout,Λήξη χρόνου κλήσης,,
Call Type,Τύπος κλήσης,,
Call Types,Τύποι κλήσεων,,
Called Number,Ονομαζόμενος αριθμός,,
Caller ID,Αναγνωριστικό καλούντος,,
Caller IDs,Αναγνωριστικά καλούντος,,
Caller IP,IP καλούντος,,
Caller Name,Όνομα καλούντος,,
Caller Number,Αριθμός καλούντος,,
Caller-Id-In-From,Caller-Id-In-From,,
Calling Card,Τηλεφωνική κάρτα,,
Calls,Κλήσεις,,
Calls Breakdown,Ανάλυση κλήσεων,,
Calltype Information,Πληροφορίες τύπου κλήσης,,
Can be purchased?,Μπορεί να αγοραστεί,,
Capital,Κεφάλαιο,,
Capture Server,Λήψη διακομιστή,,
Card Input Timeout,Χρονικό όριο εισαγωγής κάρτας,,
Card Length,Μήκος κάρτας,,
Card Retries,Επανάληψη κάρτας,,
Carriers,Μεταφορείς,,
Category,Κατηγορία,,
CC,CC,,
