English,Italian
Access Number,Numero di accesso
Access Numbers,Numeri di accesso
Account,account
Account Type,Tipo di account
Account Valid Days,Giorni di validità dell'account
Account Verification By,Verifica dell'account da parte di
Accounts,Conti
Accounts Report,Rapporto sui conti
ACD,ACD
Action,Azione
Action Type,Tipo di azione
Add,Inserisci
Add Country,Aggiungi paese
Add Currency,Aggiungi valuta
Add Destination,Aggiungi destinazione
Add Ratedeck,Aggiungi Ratedeck
Address1,Indirizzo 1
Administrator,Amministratore
Administrator Admin,Amministratore amministratore
Admins,Amministratori
After Balance,Dopo l'equilibrio
Alarm,Allarme
Alert Status,Stato avviso
Allow integration with Fraud detection,Consenti l'integrazione con il rilevamento delle frodi
Allow IP Management,Consenti gestione IP
Allow Local Call,Consenti chiamata locale
Allow Local Calls,Consenti chiamate locali
Allow Loss Less Routing,Consenti meno perdite
Allow Max Retries,Consenti massimo tentativi
Allow Recording,Consenti registrazione
Amount,Quantità
Amount INR,Importo INR
Answered Calls,Chiamate con risposta
Applicable For,Applicabile per
Apply on existing accounts,Applicare su account esistenti
Archive,Archivio
ASR,ASR
Attachement,Attacco
Attempted Calls,Tentativi di chiamata
Audit,Audit
Audit Log,Registro di audizione
Audit Logs Older Than Days,Registri di controllo più vecchi di giorni
Authorize.net,Authorize.net
Automatically,Automaticamente
Balance,Equilibrio
Balance Announcement,Annuncio del saldo
Balance Below,Equilibrio sotto
Base Currency,Valuta di base
Basic,Di base
Basic Information,Informazioni di base
Batch Update,Aggiornamento batch
Before Balance INR,Prima del saldo INR
Begins With,Inizia con
Beta,Beta
Billable,Fatturabile
Billing,Fatturazione
Billing Cycle,Ciclo di fatturazione
Billing Days,Giorni di fatturazione
Billing Information,Informazioni di fatturazione
Billing Type,Tipo di fatturazione
Body,Corpo
Buy Cost,Costo di acquisto
Call Barring,Blocco chiamate
Call Date,Data chiamata
Call Detail Reports,Report dettagliati delle chiamate
Call Max Length,Durata massima chiamata
Call State,Stato della chiamata
Call Summary Reports,Rapporti di riepilogo delle chiamate
Call Timeout,Call Timeout
Call Type,Tipo di chiamata
Call Types,Tipi di chiamata
Called Number,Numero chiamato
Caller ID,ID chiamante
Caller IDs,ID chiamante
Caller IP,IP chiamante
Caller Name,Nome del chiamante
Caller Number,Numero chiamante
Caller-Id-In-From,Caller-Id-In-From
Calling Card,Biglietto da visita
